session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
5f1da39677227002ac60cf40,5b4f9c98330053000174d56c,APPROVED,2020-07-26 15:39:02,2020-07-26 15:44:06,303.201,34,282,5,99,2020-07-29 14:31:58,6D154BBD,Italy,Italy,Part-Time,Italian,English,Italy,Female,Yes
5f1da39646be2a6d718fcf01,5cd18185c497de00161a0e0d,APPROVED,2020-07-26 15:39:02,2020-07-26 15:45:09,366.843,19,120,0,100,2020-07-29 14:31:56,6D154BBD,Portugal,Portugal,Other,Portuguese,"English, Portuguese",Portugal,Male,Yes
5f1da39775bced01ee21114e,5ecf7cc3f50eea1fbefda0fa,APPROVED,2020-07-26 15:39:04,2020-07-26 15:45:48,404.654,22,17,0,100,2020-07-29 14:32:03,6D154BBD,Hungary,Hungary,Unemployed (and job seeking),English,"English, German, Hungarian",Hungary,Male,Yes
5f1da3a3c8c0966e553be764,5ccc2e86138c2100184c218b,APPROVED,2020-07-26 15:39:43,2020-07-26 15:44:28,284.422,22,126,1,100,2020-07-29 14:32:05,6D154BBD,Poland,Poland,Other,Polish,English,Poland,Female,Yes
5f1da3a83a18380179d7019a,5ea9c91de3583b11f139f8f4,APPROVED,2020-07-26 15:39:27,2020-07-26 15:46:15,408.142,27,50,0,100,2020-07-29 14:32:07,6D154BBD,Canada,Canada,Unemployed (and job seeking),English,English,Canada,Male,No
5f1da3ab77227002567eda4a,55a2159bfdf99b3cec08f1a9,APPROVED,2020-07-26 15:39:23,2020-07-26 15:52:10,766.542,29,203,1,100,2020-07-29 14:32:09,6D154BBD,Italy,Italy,Full-Time,English,"English, Italian",Italy,Male,No
5f1da3ad0add986cac0b0e35,5ed54d7d0fea040bfc6ce94c,APPROVED,2020-07-26 15:39:45,2020-07-26 15:53:45,840.442,28,11,0,100,2020-07-29 14:32:11,6D154BBD,Hungary,Hungary,Full-Time,Hungarian,"English, Hungarian",Hungary,Female,No
5f1da3b0a294fd029b5f47c0,5e7b1409f898741063f7a2f1,APPROVED,2020-07-26 15:39:28,2020-07-26 15:50:22,653.507,19,35,0,100,2020-07-29 14:32:13,6D154BBD,Poland,Poland,Unemployed (and job seeking),Polish,"English, German, Italian, Polish",Poland,Female,Yes
5f1da3b260a5cb01d9e97065,5c257d27da51990001e278db,APPROVED,2020-07-26 15:39:39,2020-07-26 15:46:48,428.193,22,43,1,100,2020-07-29 14:32:16,6D154BBD,Portugal,Portugal,Full-Time,Portuguese,"English, Portuguese",Portugal,Male,Yes
5f1da3ba8903276e9ece3ccf,597b96d040ffde0001644515,APPROVED,2020-07-26 15:39:45,2020-07-26 15:50:02,617.05,39,247,1,100,2020-07-29 14:32:18,6D154BBD,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Female,No
5f1da3c2c4f27029644cf8a5,5ea9616bb57e4b05bfb0e52c,APPROVED,2020-07-26 15:39:51,2020-07-26 15:43:08,196.792,28,13,0,100,2020-07-29 14:32:21,6D154BBD,South Africa,South Africa,Full-Time,Afrikaans,"Afrikaans, English",South Africa,Female,No
5f1da3c73ea5736e89ce2d12,5eb5123206340e38f179de1b,APPROVED,2020-07-26 15:39:51,2020-07-26 15:46:28,396.676,18,12,0,100,2020-07-29 14:32:23,6D154BBD,Poland,Poland,Part-Time,Polish,"English, Polish",Poland,Male,Yes
5f1da3cf26f6fd01f27e96f4,5eae6d16e48122540aae0643,APPROVED,2020-07-26 15:40:07,2020-07-26 15:43:26,198.968,25,18,0,100,2020-07-29 14:32:25,6D154BBD,Israel,Israel,Part-Time,Hebrew,"English, Hebrew",Israel,Male,Yes
5f1da3d483f57e014af6da22,578568e525cb710001288d95,APPROVED,2020-07-26 15:40:05,2020-07-26 15:48:46,521.542,37,292,11,96,2020-07-29 14:32:27,6D154BBD,Spain,Spain,Full-Time,Spanish,"Catalan, Spanish, French, English",Spain,Male,No
5f1da3dcb556806e7d37c79c,5f1157c4f8cc27367f354c68,APPROVED,2020-07-26 15:40:16,2020-07-26 15:51:46,690.826,19,2,0,100,2020-07-29 14:32:29,6D154BBD,Chile,Chile,"Not in paid work (e.g. homemaker', 'retired or disabled)",Spanish,"Spanish, English",Chile,Male,Yes
5f1da3e676821d6ea032c57a,56015f0877f33b000ecb28e2,RETURNED,2020-07-26 15:40:29,,336339.8171,58,169,5,97,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f1da3e6cb538903caacc534,5ea7405befba05108ebec3af,APPROVED,2020-07-26 15:40:24,2020-07-26 15:45:35,310.122,26,22,0,100,2020-07-29 14:32:33,6D154BBD,Finland,Finland,Part-Time,Finnish,"Finnish, Swedish, English",Finland,Male,Yes
5f1da3e6ac4d730747061d72,5ea35bfe13923f2ca4ce450b,APPROVED,2020-07-26 15:40:25,2020-07-26 15:48:48,502.647,19,110,0,100,2020-07-29 14:32:31,6D154BBD,United States,United States,Part-Time,English,"English, Spanish",United States,Male,Yes
5f1da3e7241ae1019c07882d,59cc30fa5e01580001977a0d,APPROVED,2020-07-26 15:40:23,2020-07-26 15:48:40,496.702,31,142,2,100,2020-07-29 14:32:35,6D154BBD,Spain,Spain,Part-Time,Spanish,"Catalan, Spanish, English",Spain,Male,No
5f1da3e7d9d9be6f794790db,5eb170206e577a07e9954c65,APPROVED,2020-07-26 15:40:23,2020-07-26 15:48:10,466.691,19,43,0,100,2020-07-29 14:32:38,6D154BBD,Poland,Poland,"Not in paid work (e.g. homemaker', 'retired or disabled)",Polish,"Polish, English",Poland,Male,Yes
5f1da3eb868320037ccada2f,57843b986475d400015a8e45,APPROVED,2020-07-26 15:40:33,2020-07-26 15:46:48,374.949,23,921,7,100,2020-07-29 14:32:39,6D154BBD,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Male,Yes
5f1da3ecd5dc046cf61df5a7,5e5d5bca1322f00407344ee0,APPROVED,2020-07-26 15:42:04,2020-07-26 15:48:41,396.798,22,92,1,100,2020-07-29 14:32:42,6D154BBD,Canada,Canada,Part-Time,English,"English, French",Canada,Female,No
5f1da3edc3e5f902ac235130,5b900275c7f479000118c654,REJECTED,2020-07-26 15:40:29,2020-07-26 15:42:44,135.454,26,131,6,95,2020-07-29 14:04:29,6D154BBD,Poland,Poland,Full-Time,Polish,"English, German",Poland,Male,No
5f1da3f0412781024960ccb5,5e7b99d461d3e41ae8ad364e,APPROVED,2020-07-26 15:40:32,2020-07-26 15:44:53,261.07,19,71,1,100,2020-07-29 14:32:44,6D154BBD,Netherlands,Netherlands,Unemployed (and job seeking),Dutch,"English, Dutch",Netherlands,Male,Yes
5f1da3f46291c26ffe0dc474,5e99c5be1a0c87028c125183,APPROVED,2020-07-26 15:40:39,2020-07-26 15:47:12,392.836,21,5,0,100,2020-07-29 14:32:46,6D154BBD,Poland,Poland,Part-Time,Polish,"English, Russian, Polish",Poland,Male,Yes
5f1da3f946ded66d2ee33eb3,5d433248638dca0015da9d7b,APPROVED,2020-07-26 15:40:42,2020-07-26 15:51:39,657.139,19,65,1,100,2020-07-29 14:32:49,6D154BBD,Hungary,Hungary,Full-Time,Hungarian,"Hungarian, English",Hungary,Male,Yes
5f1da3fac4f27029c775f8d6,5dc0077fd819104566394afa,APPROVED,2020-07-26 15:40:43,2020-07-26 15:47:07,384.24,19,35,0,100,2020-07-29 14:32:51,6D154BBD,Ecuador,Spain,Other,Spanish,"Catalan, Spanish, English",Ecuador,Male,Yes
5f1da3fca6e3130266e223d6,5b905809c7f479000118cfc5,RETURNED,2020-07-26 15:40:48,,336321.6845,24,128,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f1da3fff6dc766d914b7fff,5e9324e0019f08188c80f45a,APPROVED,2020-07-26 15:40:48,2020-07-26 15:50:02,554.242,34,29,0,100,2020-07-29 14:32:53,6D154BBD,Argentina,Spain,Unemployed (and job seeking),Spanish,"Spanish, English",Argentina,Male,No
5f1da404104d426eacf65f5e,5ee4d27c6cb133047209064f,APPROVED,2020-07-26 15:40:53,2020-07-26 15:47:59,426.148,18,19,0,100,2020-07-29 14:32:55,6D154BBD,Poland,Poland,Other,Polish,"English, Polish, Russian",Poland,Female,Yes
5f1da406c45c5a29f9902205,5ec2ccabec26b70d7d0be8d5,APPROVED,2020-07-26 15:40:54,2020-07-26 15:51:40,645.777,25,22,0,100,2020-07-29 14:32:57,6D154BBD,Portugal,Portugal,Full-Time,Portuguese,"English, Portuguese, Spanish",Portugal,Male,Yes
5f1da40869a9d103c9843bd9,5e9ae1ccb0904517424bf970,APPROVED,2020-07-26 15:41:14,2020-07-26 15:49:32,497.747,31,32,0,100,2020-07-29 14:33:00,6D154BBD,France,France,Full-Time,French,"English, French",France,Male,No
5f1da40a875dc16e9500f5fc,5e91350e16b81046df5dcf52,APPROVED,2020-07-26 15:41:09,2020-07-26 15:47:16,366.587,19,141,0,100,2020-07-29 14:33:02,6D154BBD,United States,United States,Part-Time,Chinese,"Chinese, English",United States,Male,Yes
5f1da40f3ea5736e89ce2d13,5e3f5c2d8122da1b3e01e53a,APPROVED,2020-07-26 15:41:09,2020-07-26 15:45:46,277.007,24,56,0,100,2020-07-29 14:33:05,6D154BBD,United States,United States,Unemployed (and job seeking),English,English,United States,Male,No
5f1da410916b4a020f05668d,5db9e0044a8eb40431d5e782,APPROVED,2020-07-26 15:41:04,2020-07-26 15:47:58,414.306,20,125,0,100,2020-07-29 14:33:08,6D154BBD,Italy,Italy,Full-Time,Italian,"Italian, English",Italy,Male,No
5f1da419c74cd5012a1f89d3,5ebaa355dbe25f0008216bd1,APPROVED,2020-07-26 15:41:14,2020-07-26 15:58:04,1009.968,20,28,0,100,2020-07-29 14:33:10,6D154BBD,Portugal,Portugal,"Not in paid work (e.g. homemaker', 'retired or disabled)",Portuguese,"English, Portuguese",Portugal,Male,Yes
5f1da41b9da4f70326aaf3f8,5d9bb6bb1b7e12033ec4cb15,REJECTED,2020-07-26 15:41:19,2020-07-26 15:43:29,130.05,27,10,1,96,2020-07-29 14:04:08,6D154BBD,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
5f1da41dc45c5a294e82c2b8,5ebdc302741dac0fcb699c29,APPROVED,2020-07-26 15:41:39,2020-07-26 15:46:27,287.643,20,38,1,100,2020-07-29 14:33:12,6D154BBD,Spain,Spain,Unemployed (and job seeking),Spanish,"Catalan, English, Spanish",Spain,Female,Yes
5f1da420e56af7017ce23a34,5edd2c7ee923bea284fdb9f0,APPROVED,2020-07-26 15:41:20,2020-07-26 15:46:36,315.737,23,36,0,100,2020-07-29 14:33:14,6D154BBD,South Africa,South Africa,Full-Time,English,"Afrikaans, English",South Africa,Female,Yes
5f1da4275d95c903c88777d4,5eaba058fb863f187c27073a,APPROVED,2020-07-26 15:41:38,2020-07-26 15:48:24,406.829,18,52,0,100,2020-07-29 14:33:17,6D154BBD,United Kingdom,United Kingdom,Other,English,English,United Kingdom,Male,Yes
